OBJECTID,Inventory_,Species,DBH,Condition,TreeHeight,CrownWidth,CrownWid_1,CollectedB,Notes,CrownBaseH,GlobalID,StaffRevie,created_us,created_da,last_edite,last_edi_1,UserID,Structural,Carbon_Sto,Carbon_S_1,Carbon_Seq,Carbon_S_2,Stormwater,Stormwat_1,Pollution_,Pollutio_1,Total_Annu,Family,Genus,Common_nam,Genus_spec,Functional,Size,Native,Edible,Nuisance,Origin,Species_fa,Date_Inven,Site_Type,Site_Width,Wires,Site_devel,Site_Size,Address,Neighborho,Collected_,Planted_By,Plant_Date,Scientific,Common,Species_De,layer,path,treeID,crownArea,ndvi_count,ndvi_mean,ndvi_media,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,ndvi_varia
"156497",,PSME,10.000000000000000,Poor,,,,,Estimate,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/04/20,NCNS,,High voltage,Unimproved,Medium,236 NE 156TH AVE,GLENFAIR,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"8",63.000000000000000,2.000000000000000,0.574480175971985,0.574480175971985,0.013352870941162,0.561127305030823,0.587833046913147,0.026705741882324,0.000178299162371
"156502",,PSME,9.800000000000001,Poor,,,,,Estimate,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/04/20,NCNS,,High voltage,Unimproved,Medium,236 NE 156TH AVE,GLENFAIR,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"11",36.000000000000000,0.371393133250321,0.495712235266997,0.515521526336670,0.038612442416747,0.482377707958221,0.548665344715118,0.066287636756897,0.001490920709387
"156712",,PSME,15.900000000000000,Poor,,,,,<Null>,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/04/20,NCNS,,High voltage,Unimproved,Medium,236 NE 156TH AVE,GLENFAIR,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"22",162.000000000000000,1.671269099651665,0.481638167527246,0.486124813556671,0.032478987228319,0.434352785348892,0.525420725345612,0.091067939996719,0.001054884611377
"156719",,PSME,11.500000000000000,Poor,,,,,Estimate,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/04/20,NCNS,,High voltage,Unimproved,Medium,236 NE 156TH AVE,GLENFAIR,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"25",27.000000000000000,0.278544849948550,0.381102585412262,0.382857397198677,0.030325845782434,0.352582365274429,0.413132429122925,0.060550063848495,0.000919656922420
"159687",,PSME,35.000000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/05/12,NCNS,,None,Unimproved,Large,7836 SE 49TH AVE,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"29",2826.000000000000000,26.000000000000000,0.526163267401549,0.535040289163589,0.048128545370531,0.403555601835251,0.597020804882050,0.193465203046799,0.002316356879483
"160930",,THPL,35.700000000000003,Fair,,,,,,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/05/18,NCNS,,None,Unimproved,Large,13211 NE THOMPSON CT,RUSSELL,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"30",738.000000000000000,7.000000000000000,0.316260623080390,0.312108069658279,0.031605389934746,0.281040489673615,0.368142962455750,0.087102472782135,0.000998900672927
"159913",,THPL,4.400000000000001,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/05/13,CNS,,None,Unimproved,Large,4612 SE MALDEN DR,BRENTWOOD-DARLINGTON,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"36",360.000000000000000,3.000000000000000,0.446860988934835,0.432536184787750,0.032080086351862,0.416743397712708,0.491303384304047,0.074559986591339,0.001029131940343
"160200",,PSME,27.100000000000001,Fair,,,,,,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/05/14,CNS,,None,Unimproved,Large,13109 NE SCHUYLER ST,RUSSELL,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"42",279.000000000000000,2.000000000000000,0.441773757338524,0.441773757338524,0.017172321677208,0.424601435661316,0.458946079015732,0.034344643354416,0.000294888631786
"160069",,THPL,6.000000000000000,Fair,,,,,,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/05/13,NCNS,,High voltage,Unimproved,Medium,,BRENTWOOD-DARLINGTON,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"51",180.000000000000000,1.856965666266017,0.522187814400229,0.515611425042152,0.040169697896493,0.441773593425751,0.557657182216644,0.115883588790894,0.001613604629096
"159761",,ACMA,25.000000000000000,Fair,,,,,DBH estimate,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/05/13,NCNS,,High voltage,Unimproved,Medium,5109 SE MALDEN DR,BRENTWOOD-DARLINGTON,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"55",171.000000000000000,2.000000000000000,0.588960856199265,0.588960856199265,0.009869426488876,0.579091429710388,0.598830282688141,0.019738852977753,0.000097405579219
"159883",,ACMA,10.000000000000000,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/05/13,CNS,,High voltage,Unimproved,Medium,,BRENTWOOD-DARLINGTON,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"68",4149.000000000000000,43.000000000000000,0.549998137840005,0.573729574680328,0.059668931772192,0.318443536758423,0.608891248703003,0.290447711944580,0.003560381418834
"159975",,ACMA,8.000000000000000,Fair,,,,,DBH estimate,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/05/13,CNS,,High voltage,Unimproved,Medium,5115 SE MALDEN DR,BRENTWOOD-DARLINGTON,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"81",207.000000000000000,2.000000000000000,0.524404972791672,0.524404972791672,0.007113546133041,0.517291426658630,0.531518518924713,0.014227092266083,0.000050602538587
"159829",,ACMA,3.500000000000000,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/05/13,NCNS,,None,Unimproved,Large,5703 SE LAMBERT ST,BRENTWOOD-DARLINGTON,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"82",279.000000000000000,4.000000000000000,0.388060495257378,0.387960508465767,0.050997382588163,0.329286366701126,0.447034597396851,0.117748230695724,0.002600733030844
"163460",,PSME,33.000000000000000,Fair,,,,,Dbh est,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/05/27,NCNS,,None,Unimproved,Large,7134 SE 63RD AVE,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"87",1062.000000000000000,10.000000000000000,0.417972120642662,0.424524784088135,0.051265305907790,0.331516355276108,0.477073282003403,0.145556926727295,0.002628131589819
"165018",,PSME,13.199999999999999,Fair,,,,,,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/06/15,NCNS,,None,Unimproved,Large,6743 SE 66TH AVE,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"94",117.000000000000000,1.207027683074352,0.426867193842882,0.433134928345680,0.018396132803545,0.411741644144058,0.452138602733612,0.040396958589554,0.000338417702126
"165091",,PSME,16.300000000000001,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/06/15,NCNS,,Other,Unimproved,Large,6813 SE 67TH AVE,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"99",459.000000000000000,5.000000000000000,0.355103135108948,0.353675216436386,0.029829369485345,0.302845209836960,0.388452678918839,0.085607469081879,0.000889791283893
"163197",,PSME,30.800000000000001,Good,,,,,<Null>,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/05/27,strip,6.600000000000000,None,Improved,Large,7200 SE 60TH AVE,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"100",1827.000000000000000,21.000000000000000,0.418659938233239,0.418549895286560,0.033078390775736,0.361327826976776,0.471721678972244,0.110393851995468,0.001094179936312
"164707",,PSME,20.399999999999999,Fair,,,,,,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/06/15,NCNS,,High voltage,Unimproved,Medium,4704 SE HENRY ST,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"103",441.000000000000000,4.000000000000000,0.403239123523235,0.403912261128426,0.037341196359910,0.360959798097610,0.444172173738480,0.083212375640869,0.001394364945589
"165978",,PSME,32.000000000000000,Fair,,,,,Estimate DBH,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/06/16,NCNS,,Other,Unimproved,Large,7640 SE BYBEE BLVD,BRENTWOOD-DARLINGTON,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"118",1233.000000000000000,12.000000000000000,0.452042855322361,0.470861122012138,0.058702635942193,0.299303591251373,0.514141857624054,0.214838266372681,0.003445999466562
"165734",,THPL,14.400000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/06/16,NCNS,,None,Unimproved,Large,6636 SE 75TH AVE,BRENTWOOD-DARLINGTON,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"124",54.000000000000000,2.000000000000000,0.420393615961075,0.420393615961075,0.008635550737381,0.411758065223694,0.429029166698456,0.017271101474762,0.000074572736538
"166076",,THPL,15.000000000000000,Good,,,,,Dbh visual estimated,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/06/17,NCNS,,None,Unimproved,Large,4625 SE 36TH PL,REED,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"129",126.000000000000000,1.299875966390535,0.401847075877710,0.399700075387955,0.019757326581816,0.374959379434586,0.418529033660889,0.043569654226303,0.000390351953661
"164172",,ACMA,24.399999999999999,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4301-4495 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"131",531.000000000000000,4.000000000000000,0.424269191920757,0.437555223703384,0.059250741502503,0.334747016429901,0.487219303846359,0.152472287416458,0.003510650368596
"164245",,ACMA,21.000000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4350 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"134",324.000000000000000,3.000000000000000,0.421123415231705,0.439415156841278,0.037288687592874,0.369143813848495,0.454811275005341,0.085667461156845,0.001390446222399
"164247",,ACMA,28.500000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4350 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"135",738.000000000000000,8.000000000000000,0.409943077713251,0.402190878987312,0.079063696597360,0.282981067895889,0.550711512565613,0.267730444669724,0.006251068119639
"164463",,ACMA,25.899999999999999,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,13000 NE WHITAKER WAY,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"138",261.000000000000000,5.000000000000000,0.552228569984436,0.558241724967957,0.017224773986948,0.525227189064026,0.576169848442078,0.050942659378052,0.000296692838901
"164351",,ACMA,6.600000000000000,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4350 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"149",288.000000000000000,3.000000000000000,0.439491490523020,0.411761492490768,0.054669584912882,0.390855044126511,0.515857934951782,0.125002890825272,0.002988763514547
"164178",,ACMA,17.699999999999999,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4301-4495 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"158",468.000000000000000,6.000000000000000,0.398706684509913,0.395221322774887,0.062590982191255,0.310666054487228,0.492663711309433,0.181997656822205,0.003917631051666
"164469",,ACMA,22.100000000000001,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,4301-4495 NE 133RD AVE,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"165",324.000000000000000,3.000000000000000,0.464921762545904,0.474863737821579,0.040380001798588,0.411250829696655,0.508650720119476,0.097399890422821,0.001630544545254
"164481",,ACMA,11.000000000000000,Poor,,,,,Estimate,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/06/09,NCNS,,None,Unimproved,Large,12986 NE WHITAKER WAY,ARGAY,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"185",180.000000000000000,1.856965666269620,0.373361635176253,0.382327765226364,0.037307689046331,0.310170710086823,0.407801330089569,0.097630620002747,0.001391863661978
"171368",,PSME,22.399999999999999,Good,,,,,,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/07/13,CNS,,None,Unimproved,Large,8350 SE POWELL BLVD,LENTS,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"191",657.000000000000000,6.000000000000000,0.309545084834099,0.307358384132385,0.037920088794004,0.244362324476242,0.356757700443268,0.112395375967026,0.001437933134145
"171625",,PSME,16.500000000000000,Poor,,,,,<Null>,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/07/14,CNS,,High voltage,Unimproved,Medium,9507 SE TENINO CT,LENTS,staff,,,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"193",261.000000000000000,2.000000000000000,0.457475468516350,0.457475468516350,0.035558596253395,0.421916872262955,0.493034064769745,0.071117192506790,0.001264413767512
"173117",,PSME,38.200000000000003,Fair,,,,,,,,,,,,,,,,,,,,,,,,Pinaceae,Pseudotsuga,,,CE,L,,no,,,,2016/07/18,curbtight,,None,Improved,Large,4700 SE 88TH AVE,LENTS,staff,,2016/07/15,Pseudotsuga menziesii,Douglas-fir,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"201",990.000000000000000,10.000000000000000,0.449664035439491,0.453247606754303,0.024153846839318,0.408167600631714,0.477316975593567,0.069149374961853,0.000583408317137
"171028",,ACPL,12.900000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,M,,no,,,,2016/07/13,strip,4.000000000000000,High voltage,Improved,Medium,9721 SE WOODSTOCK BLVD,LENTS,staff,,,Acer platanoides,"maple, Norway",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"204",135.000000000000000,2.000000000000000,0.266761481761932,0.266761481761932,0.032972961664200,0.233788520097733,0.299734443426132,0.065945923328400,0.001087216200909
"170910",,ACMA,6.000000000000000,Poor,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/07/13,CNS,,High voltage,Unimproved,Medium,NEC/ 88TH & SE LAFAYETTE ST,LENTS,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"208",252.000000000000000,4.000000000000000,0.567336820065975,0.583923399448395,0.044508364332381,0.492411404848099,0.609089076519012,0.116677671670914,0.001980994495544
"171390",,ACMA,44.700000000000003,Poor,,,,,Estimate,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/07/13,curbtight,,High voltage,Improved,Medium,9924 SE DUKE ST,LENTS,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"218",2133.000000000000000,21.000000000000000,0.459379081215177,0.469783812761307,0.070483202196507,0.335469037294388,0.556149542331696,0.220680505037308,0.004967881791874
"171715",,ACMA,10.800000000000001,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/07/14,CNS,,None,Unimproved,Large,9216 SE TENINO CT,LENTS,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"219",981.000000000000000,11.000000000000000,0.363931640982628,0.365512430667877,0.100977004945679,0.186052724719048,0.524075448513031,0.338022723793983,0.010196355527800
"172634",,ACMA,19.699999999999999,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/07/15,strip,11.300000000000001,None,Improved,Large,5328 SE 89TH AVE,LENTS,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"226",333.000000000000000,4.000000000000000,0.500557318329811,0.500026389956474,0.006033535526016,0.493923872709274,0.508252620697021,0.014328747987747,0.000036403550944
"173098",,ACPL,23.000000000000000,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,M,,no,,,,2016/07/18,curbtight,,None,Improved,Large,4700 SE 88TH AVE,LENTS,staff,,2016/07/15,Acer platanoides,"maple, Norway",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"233",1413.000000000000000,15.000000000000000,0.544466352462769,0.553886771202087,0.035081283500093,0.469866871833801,0.606086790561676,0.136219918727875,0.001230696452014
"173815",,THPL,9.100000000000000,Fair,,,,,<Null>,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/07/19,NCNS,,High voltage,Unimproved,Medium,9230 SE CENTER ST,LENTS,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"238",108.000000000000000,1.114179399772581,0.456012855165573,0.467317879199982,0.040683369287988,0.378556817770004,0.500326395034790,0.121769577264786,0.001655136536623
"173932",,THPL,24.000000000000000,Fair,,,,,MS est,,,,,,,,,,,,,,,,,,,Cupressaceae,Thuja,,,CE,L,,no,,,,2016/07/19,NCNS,,High voltage,Unimproved,Medium,9230 SE CENTER ST,LENTS,staff,,,Thuja plicata,Western redcedar,,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"239",72.000000000000000,0.742786266507848,0.350830723674785,0.378556817770004,0.049066677194068,0.277052521705627,0.382621556520462,0.105569034814835,0.002407538810867
"173277",,ACMA,33.299999999999997,Fair,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,L,,no,,,,2016/07/18,NCNS,,High voltage,Unimproved,Medium,10303 SE MARTINS ST,LENTS,staff,,,Acer macrophyllum,"maple, bigleaf",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"244",1755.000000000000000,19.000000000000000,0.496472653589751,0.500948369503021,0.054457699101974,0.362353473901749,0.576210260391235,0.213856786489487,0.002965640991481
"174919",,ACPL,9.199999999999999,Good,,,,,,,,,,,,,,,,,,,,,,,,Sapindaceae,Acer,,,BD,M,,no,,,,2016/06/25,CNS,,None,Unimproved,Large,1908-1914 NE 72ND AVE,MADISON SOUTH,staff,,,Acer platanoides,"maple, Norway",,Street_Trees,/Users/zolli/Desktop/thesis stuff/thesis qgis files/Street_Trees-2/Street_Trees.shp,"252",171.000000000000000,2.000000000000000,0.577971756458282,0.577971756458282,0.019942402839661,0.558029353618622,0.597914159297943,0.039884805679321,0.000397699431019
